iter	Logloss
0	0.6177969929
1	0.5674394006
2	0.5297059599
3	0.5027636302
4	0.4886788313
5	0.4787558939
6	0.4698411944
7	0.4585399523
8	0.4534632877
9	0.4463525787
10	0.4435791089
11	0.4397550262
12	0.4378171074
13	0.4363458562
14	0.4327708321
15	0.4318270955
16	0.4295057397
17	0.4282251441
18	0.4272823633
19	0.4264059347
20	0.4244229069
21	0.4229005465
22	0.4218701253
23	0.4213674134
24	0.4203456256
25	0.4198122434
26	0.4188978645
27	0.4183196475
28	0.4179493867
29	0.4175306811
30	0.4171117879
31	0.4166596761
32	0.416322535
33	0.4158271719
34	0.4154883429
35	0.4150512701
36	0.4147302817
37	0.4142176754
38	0.4139068988
39	0.4136406923
40	0.4133207021
41	0.4131116983
42	0.412834258
43	0.4125490659
44	0.4123238594
45	0.4120636056
46	0.4117436419
47	0.4114854952
48	0.4112309842
49	0.4110378472
50	0.4108284739
51	0.4106130866
52	0.4103800694
53	0.4102089293
54	0.4100203055
55	0.4098142121
56	0.4095755395
57	0.4094436834
58	0.4092584869
59	0.4091036184
60	0.408953385
61	0.4088164949
62	0.4086336616
63	0.4084923685
64	0.4082718994
65	0.4080881716
66	0.4078363638
67	0.4076761776
68	0.4075677574
69	0.4074468003
70	0.4072759611
71	0.4071347049
72	0.4069425731
73	0.4067610832
74	0.406623377
75	0.406447684
76	0.4063017776
77	0.4061134707
78	0.4059337106
79	0.4058167575
80	0.4057074737
81	0.4055900359
82	0.4055043154
83	0.4053363059
84	0.4052074021
85	0.4050346848
86	0.4049117972
87	0.404761076
88	0.4045478539
89	0.4043743416
90	0.4042051515
91	0.4041180526
92	0.4039787369
93	0.4038693777
94	0.4037182175
95	0.4035621104
96	0.403483205
97	0.4033743177
98	0.403250784
99	0.4030810299
100	0.4029428036
101	0.4028380501
102	0.402724719
103	0.4025223899
104	0.402419104
105	0.4023254774
106	0.4022639393
107	0.4021207659
108	0.4020291762
109	0.4018516759
110	0.4017735334
111	0.4016074
112	0.4014835546
113	0.4013744319
114	0.4012769941
115	0.4011845418
116	0.4010014962
117	0.4008721214
118	0.4007628258
119	0.400697337
120	0.40060158
121	0.4004881313
122	0.4004058686
123	0.4002839342
124	0.4002042834
125	0.4001333183
126	0.400038159
127	0.3999449954
128	0.3997679466
129	0.3996524066
130	0.3995797439
131	0.3994964003
132	0.3993927694
133	0.3992751053
134	0.3991688601
135	0.3990607451
136	0.3989438735
137	0.3988249694
138	0.3987257253
139	0.3985664485
140	0.3984924681
141	0.3984333441
142	0.398298506
143	0.3982065568
144	0.3981553289
145	0.3980258069
146	0.3979740743
147	0.3978579276
148	0.3977876431
149	0.3977287317
150	0.3976540078
151	0.3975545172
152	0.3974672599
153	0.3973605124
154	0.397260679
155	0.3971777165
156	0.3970795593
157	0.396956821
158	0.3968771088
159	0.3967670815
160	0.3966699517
161	0.3966088242
162	0.3964953726
163	0.3964061142
164	0.3962998713
165	0.3961866605
166	0.3961096077
167	0.3960205797
168	0.3959391826
169	0.3958431114
170	0.3957798489
171	0.3956822348
172	0.3956151147
173	0.3955491717
174	0.3954641939
175	0.3953999048
176	0.395322984
177	0.3952570163
178	0.3950787875
179	0.3949736922
180	0.3948903834
181	0.3948465632
182	0.3947343221
183	0.3946597221
184	0.3946097808
185	0.3945496562
186	0.3944417993
187	0.3943407822
188	0.3942381734
189	0.3941722794
190	0.3941168728
191	0.3940134174
192	0.3939239372
193	0.3938337889
194	0.3937790145
195	0.3937120283
196	0.3936007729
197	0.3934998438
198	0.3934299098
199	0.3933575712
200	0.3932971183
201	0.393217431
202	0.393156348
203	0.3931105594
204	0.3930579875
205	0.3929869521
206	0.3929215809
207	0.3928519979
208	0.3927482532
209	0.3927055392
210	0.3926266796
211	0.3925225271
212	0.3924789369
213	0.3923886071
214	0.3923160943
215	0.3922541765
216	0.3922187397
217	0.3920955869
218	0.3920323275
219	0.391951412
220	0.3918754252
221	0.391839691
222	0.3917865054
223	0.3917244986
224	0.3916783768
225	0.391573893
226	0.3915275336
227	0.3914838018
228	0.3914142246
229	0.3913487312
230	0.3912832078
231	0.3912122496
232	0.3911334444
233	0.3910469253
234	0.3910027559
235	0.3909491614
236	0.3908966815
237	0.3908634034
238	0.3908274544
239	0.3907471961
240	0.3906743278
241	0.3905974214
242	0.3905321566
243	0.3904695259
244	0.3904196604
245	0.3903224374
246	0.39024933
247	0.3901815325
248	0.3901556806
249	0.3900730307
250	0.3900073218
251	0.3899364967
252	0.3898397238
253	0.3897732809
254	0.3897136155
255	0.3896816274
256	0.3896276035
257	0.3895927403
258	0.3895219087
259	0.3894717051
260	0.3894355621
261	0.3893826769
262	0.3893509653
263	0.3893007792
264	0.3892388733
265	0.3891884855
266	0.3891556667
267	0.389110089
268	0.3890377791
269	0.389001349
270	0.3889513048
271	0.3888817195
272	0.3888212938
273	0.3887790223
274	0.3887353524
275	0.3886838219
276	0.3886376179
277	0.3885802907
278	0.3884972793
279	0.3884661839
280	0.3884454913
281	0.3884063546
282	0.3883629361
283	0.3883121009
284	0.3882816927
285	0.3882457595
286	0.3881579374
287	0.3881129463
288	0.3880796484
289	0.388056371
290	0.3880068198
291	0.3879619015
292	0.38791638
293	0.3878885986
294	0.387839702
295	0.3877685018
296	0.3877388707
297	0.3876538099
298	0.3876192004
299	0.3875788239
300	0.3875363918
301	0.3874791505
302	0.3874288529
303	0.3873966119
304	0.3873497391
305	0.3873102138
306	0.3872565302
307	0.3871967025
308	0.3871612665
309	0.3871176366
310	0.3870709528
311	0.3870343552
312	0.3869947246
313	0.3869344334
314	0.3869089874
315	0.386873268
316	0.3868179848
317	0.3867713315
318	0.3867471046
319	0.3866906656
320	0.3866437391
321	0.386599938
322	0.3865369159
323	0.3864880697
324	0.3864341903
325	0.386414989
326	0.3863615851
327	0.3863088004
328	0.3862800227
329	0.3862436522
330	0.386212447
331	0.3861732484
332	0.3861441612
333	0.3861043692
334	0.3860880929
335	0.3860183207
336	0.3859829695
337	0.3859352699
338	0.3858944074
339	0.3858234667
340	0.3857746753
341	0.3857388009
342	0.3856923798
343	0.3856600926
344	0.3856332114
345	0.3856014879
346	0.3855703664
347	0.3855340441
348	0.3854837497
349	0.3854434666
350	0.3853667356
351	0.3853014516
352	0.3852785246
353	0.3852548712
354	0.3852208606
355	0.3851855237
356	0.3851570363
357	0.3851199538
358	0.3850739322
359	0.385019478
360	0.3849658576
361	0.3849157673
362	0.3848970514
363	0.3848567489
364	0.3847999133
365	0.3847720441
366	0.3847455916
367	0.3847186761
368	0.3846890008
369	0.3846155502
370	0.3845852845
371	0.384539086
372	0.3845171491
373	0.3844924727
374	0.3844552126
375	0.3844161472
376	0.3843943833
377	0.384359196
378	0.3843336726
379	0.3842878567
380	0.3842512241
381	0.3842091443
382	0.3841913087
383	0.3841750077
384	0.3841414808
385	0.3840967558
386	0.3840542478
387	0.3840184597
388	0.3839765758
389	0.3839160452
390	0.3838813976
391	0.3838358651
392	0.3838108477
393	0.3837703151
394	0.3837274548
395	0.3837052697
396	0.3836567513
397	0.3836158724
398	0.3835792831
399	0.3835370565
400	0.3835065716
401	0.3834703658
402	0.3834264882
403	0.3833792457
404	0.3833409856
405	0.3833164167
406	0.3832754169
407	0.3832493516
408	0.3832278927
409	0.3832102129
410	0.3831924865
411	0.3831583516
412	0.383142233
413	0.3830982503
414	0.3830599533
415	0.3830104543
416	0.3829702453
417	0.3829207612
418	0.3828911733
419	0.3828516429
420	0.3828117724
421	0.3827776178
422	0.382749064
423	0.3826675629
424	0.3826340393
425	0.3826036133
426	0.3825723513
427	0.3825308962
428	0.3824947199
429	0.3824691903
430	0.3824366986
431	0.382403429
432	0.382354128
433	0.3823227713
434	0.3822929146
435	0.3822612377
436	0.3822406205
437	0.3821879128
438	0.3821737316
439	0.3821462035
440	0.3821197811
441	0.3820953763
442	0.382065168
443	0.3820237247
444	0.3819709215
445	0.381944878
446	0.3819165038
447	0.3818706472
448	0.3818413928
449	0.3817892007
450	0.3817233787
451	0.3816920485
452	0.381651916
453	0.3816246741
454	0.3816003486
455	0.38156444
456	0.3815414772
457	0.3815061079
458	0.3814684603
459	0.3814285389
460	0.3813898383
461	0.3813635661
462	0.3813383394
463	0.3813089188
464	0.3812837675
465	0.3812495122
466	0.3812200252
467	0.3811937901
468	0.3811547624
469	0.3811129086
470	0.3810926443
471	0.3810608958
472	0.3810346334
473	0.38100101
474	0.3809798818
475	0.3809583139
476	0.3809400529
477	0.3809105591
478	0.3808902951
479	0.3808691732
480	0.3808212645
481	0.3807921394
482	0.3807654288
483	0.3807140234
484	0.3806829111
485	0.3806641315
486	0.3806423306
487	0.3806208862
488	0.3805868558
489	0.380550396
490	0.3805080796
491	0.380483335
492	0.3804550959
493	0.3804298048
494	0.3803938355
495	0.3803366589
496	0.3803210502
497	0.3802855109
498	0.3802423258
499	0.380211957
500	0.3801664076
501	0.3801419513
502	0.3801248038
503	0.3801011578
504	0.3800783454
505	0.3800452779
506	0.3800180836
507	0.3799944951
508	0.3799684761
509	0.3799571168
510	0.3799355205
511	0.3799003995
512	0.3798651146
513	0.3798379762
514	0.3798018698
515	0.3797681556
516	0.3797438693
517	0.3797213957
518	0.3796799519
519	0.3796510581
520	0.3796264098
521	0.3795980465
522	0.3795761757
