iter	Passed	Remaining
0	157	157031
1	251	125706
2	349	116088
3	450	112141
4	556	110731
5	664	110062
6	757	107424
7	868	107633
8	958	105542
9	1086	107531
10	1177	105835
11	1271	104689
12	1367	103838
13	1451	102208
14	1546	101529
15	1649	101431
16	1744	100871
17	1834	100055
18	1932	99769
19	2020	98994
20	2101	97958
21	2182	97023
22	2275	96651
23	2362	96086
24	2453	95699
25	2548	95457
26	2636	95025
27	2727	94687
28	2821	94467
29	2926	94624
30	3012	94155
31	3114	94210
32	3207	93993
33	3302	93816
34	3400	93762
35	3491	93498
36	3585	93326
37	3676	93078
38	3775	93021
39	3871	92919
40	3963	92709
41	4048	92352
42	4153	92431
43	4259	92537
44	4349	92299
45	4442	92130
46	4543	92125
47	4633	91889
48	4722	91648
49	4816	91519
50	4905	91280
51	5013	91409
52	5100	91139
53	5209	91269
54	5301	91091
55	5398	91006
56	5506	91093
57	5589	90779
58	5686	90698
59	5781	90575
60	5874	90421
61	5960	90183
62	6047	89946
63	6141	89818
64	6232	89651
65	6332	89610
66	6421	89414
67	6515	89304
68	6610	89188
69	6701	89028
70	6799	88971
71	6897	88898
72	6991	88778
73	7093	88760
74	7175	88491
75	7291	88654
76	7390	88585
77	7497	88624
78	7581	88385
79	7673	88249
80	7763	88076
81	7860	88003
82	7956	87901
83	8060	87893
84	8147	87702
85	8238	87556
86	8326	87382
87	8430	87374
88	8517	87186
89	8610	87057
90	8710	87013
91	8802	86878
92	8899	86796
93	8982	86571
94	9086	86560
95	9198	86617
96	9299	86572
97	9414	86650
98	9525	86690
99	9622	86600
100	9722	86542
101	9839	86630
102	9939	86563
103	10033	86438
104	10135	86392
105	10238	86351
106	10320	86135
107	10421	86075
108	10518	85985
109	10621	85937
110	10714	85815
111	10800	85636
112	10898	85546
113	10987	85397
114	11079	85263
115	11178	85190
116	11288	85197
117	11403	85238
118	11490	85065
119	11581	84928
120	11683	84872
121	11772	84721
122	11854	84526
123	11954	84453
124	12049	84344
125	12143	84233
126	12228	84058
127	12323	83954
128	12413	83815
129	12505	83689
130	12589	83512
